step,worstDrift_wu,worstDriftBone,divergeCap_wu,worstPen_wu,contacts,kineticE_wu2,cageLimitHits,cageSafetyHits,boneLimitHits,divergeClamped,nan,tetherHits,worstPinnedTargetErr_wu
0,0.025333,347,0.338129,0.000000,0,0.0020763854,0,0,0,0,0,0,0.15351
1,0.295785,393,0.338129,0.086392,1615,2.0389189,0,0,0,0,0,59,0.15351
2,0.325847,399,0.338129,0.052663,1197,0.14770271,0,0,0,0,0,71,0.15327
3,0.301783,393,0.338129,0.044376,1273,0.13315763,0,0,0,0,0,82,0.15327
4,0.281318,417,0.338129,0.049630,1408,0.073749894,0,0,0,0,0,95,0.15266
5,0.273010,417,0.338129,0.047186,1558,0.073110323,0,0,0,0,0,93,0.15266
6,0.235879,417,0.338129,0.050399,1515,0.055238063,0,0,0,0,0,106,0.15185
7,0.169572,392,0.338129,0.054403,1625,0.053336468,0,0,0,0,0,103,0.15185
8,0.161038,392,0.338129,0.054540,1970,0.038319932,0,0,0,0,0,113,0.15082
9,0.156031,392,0.338129,0.053985,2303,0.027987579,0,0,0,0,0,110,0.15082
10,0.156278,392,0.338129,0.053535,2212,0.025974027,0,0,0,0,0,106,0.14979
11,0.158981,392,0.338129,0.053694,2263,0.024135674,0,0,0,0,0,97,0.14979
12,0.161018,392,0.338129,0.053923,2105,0.023426576,0,0,0,0,0,108,0.14877
13,0.162074,392,0.338129,0.054047,2216,0.021484761,0,0,0,0,0,102,0.14877
14,0.162240,392,0.338129,0.054133,1957,0.020514916,0,0,0,0,0,110,0.14747
15,0.162737,392,0.338129,0.054162,2054,0.01875472,0,0,0,0,0,100,0.14747
16,0.162977,392,0.338129,0.054167,1891,0.018756964,0,0,0,0,0,108,0.14617
17,0.163563,392,0.338129,0.054193,2087,0.017899174,0,0,0,0,0,103,0.14617
18,0.163502,392,0.338129,0.054165,1872,0.018485549,0,0,0,0,0,108,0.14487
19,0.163626,392,0.338129,0.054174,2070,0.018121123,0,0,0,0,0,104,0.14487
20,0.163269,392,0.338129,0.054189,1930,0.019028826,0,0,0,0,0,106,0.14348
21,0.163695,392,0.338129,0.054214,2164,0.018606792,0,0,0,0,0,103,0.14348
22,0.163773,392,0.338129,0.054218,2034,0.019325658,0,0,0,0,0,101,0.14209
23,0.164264,392,0.338129,0.054273,2249,0.018603688,0,0,0,0,0,102,0.14209
24,0.164267,392,0.338129,0.054306,1895,0.019147574,0,0,0,0,0,104,0.14044
25,0.164886,392,0.338129,0.054345,2070,0.018180719,0,0,0,0,0,106,0.14044
26,0.164957,392,0.338129,0.054366,1848,0.018569981,0,0,0,0,0,106,0.13879
27,0.165661,392,0.338129,0.054407,1980,0.017584415,0,0,0,0,0,108,0.13879
28,0.165869,392,0.338129,0.054405,1827,0.017874116,0,0,0,0,0,103,0.13703
29,0.166407,392,0.338129,0.054475,1949,0.01708717,0,0,0,0,0,111,0.13703
30,0.166638,392,0.338129,0.054481,1823,0.017392965,0,0,0,0,0,103,0.13528
31,0.167078,392,0.338129,0.054537,1935,0.016787338,0,0,0,0,0,111,0.13528
32,0.167387,392,0.338129,0.054529,1833,0.017103189,0,0,0,0,0,103,0.13354
33,0.167798,392,0.338129,0.054588,1919,0.016567065,0,0,0,0,0,112,0.13354
34,0.168058,392,0.338129,0.054563,1840,0.016921298,0,0,0,0,0,105,0.13191
35,0.168393,392,0.338129,0.054633,1953,0.016328965,0,0,0,0,0,110,0.13191
36,0.168805,392,0.338129,0.054613,1844,0.016701957,0,0,0,0,0,106,0.1303
37,0.169145,392,0.338129,0.054676,1969,0.016023792,0,0,0,0,0,111,0.1303
38,0.169544,392,0.338129,0.054669,1857,0.016244623,0,0,0,0,0,108,0.12891
39,0.169808,392,0.338129,0.054707,1980,0.01563045,0,0,0,0,0,111,0.12891
40,0.170186,392,0.338129,0.054727,1872,0.015967269,0,0,0,0,0,109,0.12753
41,0.170552,392,0.338129,0.054749,1995,0.015352027,0,0,0,0,0,112,0.12753
42,0.170904,392,0.338129,0.054773,1878,0.015538458,0,0,0,0,0,106,0.12646
43,0.171191,392,0.338129,0.054796,1997,0.015037414,0,0,0,0,0,111,0.12646
44,0.171491,392,0.338129,0.054821,1927,0.015102205,0,0,0,0,0,106,0.12558
45,0.171671,392,0.338129,0.054833,1997,0.014738062,0,0,0,0,0,113,0.12558
46,0.171801,392,0.338129,0.054845,1984,0.014760721,0,0,0,0,0,110,0.12488
47,0.171986,392,0.338129,0.054857,2013,0.014504994,0,0,0,0,0,113,0.12488
48,0.172117,392,0.338129,0.054872,2002,0.014456589,0,0,0,0,0,112,0.12453
49,0.172202,392,0.338129,0.054877,2014,0.014334203,0,0,0,0,0,110,0.12453
50,0.172236,392,0.338129,0.054888,2006,0.014309682,0,0,0,0,0,112,0.12434
51,0.172191,392,0.338129,0.054882,2012,0.014252043,0,0,0,0,0,109,0.12434
52,0.172032,392,0.338129,0.054900,1990,0.014289546,0,0,0,0,0,110,0.12439
53,0.171886,392,0.338129,0.054871,2010,0.01425277,0,0,0,0,0,109,0.12439
54,0.171744,392,0.338129,0.054893,2008,0.014317923,0,0,0,0,0,110,0.12459
55,0.171614,392,0.338129,0.054860,2027,0.014242622,0,0,0,0,0,109,0.12459
56,0.171320,392,0.338129,0.054899,2005,0.01439835,0,0,0,0,0,110,0.12501
57,0.171126,392,0.338129,0.054845,2040,0.014257792,0,0,0,0,0,109,0.12501
58,0.170658,392,0.338129,0.054924,1982,0.014471505,0,0,0,0,0,111,0.12567
59,0.170299,392,0.338129,0.054808,2017,0.014296611,0,0,0,0,0,112,0.12567
60,0.169824,392,0.338129,0.054886,1957,0.014636158,0,0,0,0,0,109,0.12649
61,0.169497,392,0.338129,0.054765,1994,0.014358516,0,0,0,0,0,111,0.12649
62,0.169023,392,0.338129,0.054932,1874,0.014932612,0,0,0,0,0,110,0.12754
63,0.168523,392,0.338129,0.054721,1940,0.014519537,0,0,0,0,0,114,0.12754
64,0.167927,392,0.338129,0.054928,1800,0.01528631,0,0,0,0,0,109,0.12896
65,0.167321,392,0.338129,0.054652,1950,0.014736919,0,0,0,0,0,114,0.12896
66,0.166598,392,0.338129,0.054918,1746,0.015886089,0,0,0,0,0,110,0.13068
67,0.165882,392,0.338129,0.054576,1949,0.015075828,0,0,0,0,0,114,0.13068
68,0.164866,392,0.338129,0.054868,1664,0.0170607,0,0,0,0,0,104,0.13309
69,0.163886,392,0.338129,0.054495,1991,0.015518975,0,0,0,0,0,115,0.13309
70,0.162953,392,0.338129,0.054798,1668,0.017496836,0,0,0,0,0,105,0.13556
71,0.161842,392,0.338129,0.054405,1953,0.015921808,0,0,0,0,0,111,0.13556
72,0.161195,392,0.338129,0.054703,1678,0.017802664,0,0,0,0,0,106,0.13804
73,0.160167,392,0.338129,0.054323,1956,0.016297993,0,0,0,0,0,115,0.13804
74,0.159458,392,0.338129,0.054597,1715,0.018259065,0,0,0,0,0,101,0.14053
75,0.158412,392,0.338129,0.054234,1998,0.016673014,0,0,0,0,0,111,0.14053
76,0.157818,392,0.338129,0.054446,1779,0.018494377,0,0,0,0,0,101,0.14287
77,0.157074,392,0.338129,0.054159,2011,0.016986525,0,0,0,0,0,113,0.14287
78,0.156583,392,0.338129,0.054328,1857,0.018713459,0,0,0,0,0,100,0.14523
79,0.155834,392,0.338129,0.054086,2103,0.017357878,0,0,0,0,0,108,0.14523
80,0.155684,392,0.338129,0.054179,1939,0.018440181,0,0,0,0,0,104,0.1469
81,0.155253,392,0.338129,0.054023,2115,0.017670015,0,0,0,0,0,107,0.1469
82,0.155576,392,0.338129,0.054093,2050,0.018411556,0,0,0,0,0,105,0.14818
83,0.155330,392,0.338129,0.053986,2133,0.017896344,0,0,0,0,0,106,0.14818
84,0.155548,392,0.338129,0.054037,2066,0.018605836,0,0,0,0,0,105,0.14931
85,0.155310,392,0.338129,0.053949,2144,0.018129892,0,0,0,0,0,107,0.14931
86,0.155521,392,0.338129,0.053995,2099,0.018731859,0,0,0,0,0,106,0.15037
87,0.155293,392,0.338129,0.053906,2176,0.018336917,0,0,0,0,0,107,0.15037
88,0.155591,392,0.338129,0.053969,2104,0.018792401,0,0,0,0,0,106,0.15143
89,0.155311,392,0.338129,0.053863,2172,0.01848369,0,0,0,0,0,105,0.15143
90,0.155608,392,0.338129,0.053899,2089,0.018827325,0,0,0,0,0,105,0.15218
91,0.155460,392,0.338129,0.053821,2198,0.018492223,0,0,0,0,0,105,0.15218
92,0.155787,392,0.338129,0.053858,2123,0.018785991,0,0,0,0,0,105,0.15293
93,0.155645,392,0.338129,0.053787,2225,0.018649647,0,0,0,0,0,105,0.15293
94,0.155979,392,0.338129,0.053848,2079,0.019040838,0,0,0,0,0,105,0.15336
95,0.155946,392,0.338129,0.053773,2177,0.018930417,0,0,0,0,0,105,0.15336
96,0.156401,392,0.338129,0.053800,2192,0.019105725,0,0,0,0,0,106,0.1538
97,0.156309,392,0.338129,0.053763,2285,0.018986611,0,0,0,0,0,104,0.1538
98,0.156699,392,0.338129,0.053789,2122,0.019075591,0,0,0,0,0,105,0.15397
99,0.156702,392,0.338129,0.053754,2169,0.018958619,0,0,0,0,0,105,0.15397
100,0.157091,392,0.338129,0.053787,2190,0.019059159,0,0,0,0,0,105,0.15414
101,0.157092,392,0.338129,0.053748,2273,0.019004229,0,0,0,0,0,105,0.15414
102,0.157457,392,0.338129,0.053762,2177,0.019115137,0,0,0,0,0,106,0.15427
103,0.157469,392,0.338129,0.053742,2262,0.019080909,0,0,0,0,0,105,0.15427
104,0.157785,392,0.338129,0.053779,2172,0.019134724,0,0,0,0,0,107,0.15414
105,0.157862,392,0.338129,0.053752,2222,0.019120734,0,0,0,0,0,106,0.15414
106,0.158199,392,0.338129,0.053775,2190,0.019148547,0,0,0,0,0,106,0.15402
107,0.158243,392,0.338129,0.053756,2295,0.019119537,0,0,0,0,0,106,0.15402
108,0.158457,392,0.338129,0.053785,2164,0.019149849,0,0,0,0,0,107,0.15376
