step,worstDrift_wu,worstDriftBone,divergeCap_wu,worstPen_wu,contacts,kineticE_wu2,cageLimitHits,cageSafetyHits,boneLimitHits,divergeClamped,nan,tetherHits,worstPinnedTargetErr_wu
0,0.003920,187,0.227201,0.000000,0,1.5366634e-05,0,0,0,0,0,0,7.6983e-07
1,0.011334,187,0.227201,0.000000,0,0.00027417168,0,0,0,0,0,27,7.6983e-07
2,0.021785,187,0.227201,0.000000,0,0.00044203025,0,0,0,0,0,24,7.6983e-07
3,0.034794,187,0.227201,0.000000,0,0.00047410872,0,0,0,0,0,30,7.6983e-07
4,0.049875,187,0.227201,0.000000,0,0.00042806586,0,0,0,0,0,31,7.6983e-07
5,0.066542,187,0.227201,0.000000,0,0.00038352305,0,0,0,0,0,36,7.6983e-07
6,0.084321,187,0.227201,0.000000,0,0.00036355321,0,0,0,0,0,34,7.6983e-07
7,0.102759,187,0.227201,0.000000,0,0.00036087464,0,0,0,0,0,34,7.6983e-07
8,0.121428,187,0.227201,0.000000,0,0.00036094003,0,0,0,0,0,32,7.6983e-07
9,0.139934,187,0.227201,0.000000,0,0.00035286029,0,0,0,0,0,32,7.6983e-07
10,0.157922,187,0.227201,0.000000,0,0.00033288273,0,0,0,0,0,32,7.6983e-07
11,0.175078,187,0.227201,0.000000,0,0.0003021011,0,0,0,0,0,32,7.6983e-07
12,0.191132,187,0.227201,0.000000,0,0.0002636007,0,0,0,0,0,32,7.6983e-07
13,0.205861,187,0.227201,0.000000,0,0.00022092156,0,0,0,0,0,32,7.6983e-07
14,0.219088,187,0.227201,0.000000,0,0.00017739137,0,0,0,0,0,32,7.6983e-07
15,0.230682,187,0.227201,0.000000,0,9.8020178e-06,0,0,0,1,0,32,7.6983e-07
16,0.229219,187,0.227201,0.000000,0,1.0720156e-06,0,0,0,1,0,32,7.6983e-07
17,0.227037,187,0.227201,0.000000,0,5.5886288e-07,0,0,0,0,0,32,7.6983e-07
18,0.226266,187,0.227201,0.000000,0,9.7558521e-07,0,0,0,0,0,32,7.6983e-07
19,0.224959,187,0.227201,0.000000,0,1.9862518e-06,0,0,0,0,0,32,7.6983e-07
20,0.223188,187,0.227201,0.000000,0,3.3252174e-06,0,0,0,0,0,32,7.6983e-07
21,0.221030,187,0.227201,0.000000,0,4.7784726e-06,0,0,0,0,0,32,7.6983e-07
22,0.218563,187,0.227201,0.000000,0,6.1649805e-06,0,0,0,0,0,32,7.6983e-07
23,0.215863,187,0.227201,0.000000,0,7.340527e-06,0,0,0,0,0,32,7.6983e-07
24,0.213005,187,0.227201,0.000000,0,8.2033993e-06,0,0,0,0,0,32,7.6983e-07
25,0.210060,187,0.227201,0.000000,0,8.6973329e-06,0,0,0,0,0,32,7.6983e-07
26,0.207095,187,0.227201,0.000000,0,8.8100707e-06,0,0,0,0,0,32,7.6983e-07
27,0.204171,187,0.227201,0.000000,0,8.5641896e-06,0,0,0,0,0,32,7.6983e-07
28,0.201342,187,0.227201,0.000000,0,8.0096556e-06,0,0,0,0,0,32,7.6983e-07
29,0.198657,187,0.227201,0.000000,0,7.2141243e-06,0,0,0,0,0,32,7.6983e-07
30,0.196157,187,0.227201,0.000000,0,6.2544498e-06,0,0,0,0,0,32,7.6983e-07
31,0.193875,187,0.227201,0.000000,0,5.209061e-06,0,0,0,0,0,32,7.6983e-07
32,0.191838,187,0.227201,0.000000,0,4.1517831e-06,0,0,0,0,0,32,7.6983e-07
33,0.190065,187,0.227201,0.000000,0,3.1464382e-06,0,0,0,0,0,32,7.6983e-07
34,0.188567,187,0.227201,0.000000,0,2.2438605e-06,0,0,0,0,0,32,7.6983e-07
35,0.187351,187,0.227201,0.000000,0,1.4800526e-06,0,0,0,0,0,32,7.6983e-07
36,0.186415,187,0.227201,0.000000,0,8.7571863e-07,0,0,0,0,0,32,7.6983e-07
37,0.185754,187,0.227201,0.000000,0,4.3715685e-07,0,0,0,0,0,32,7.6983e-07
38,0.185357,187,0.227201,0.000000,0,1.5817178e-07,0,0,0,0,0,32,7.6983e-07
39,0.185207,187,0.227201,0.000000,0,2.2440378e-08,0,0,0,0,0,32,7.6983e-07
40,0.185287,187,0.227201,0.000000,0,6.4325467e-09,0,0,0,0,0,32,7.6983e-07
41,0.185574,187,0.227201,0.000000,0,8.2366481e-08,0,0,0,0,0,32,7.6983e-07
42,0.186044,187,0.227201,0.000000,0,2.2092712e-07,0,0,0,0,0,32,7.6983e-07
43,0.186671,187,0.227201,0.000000,0,3.93732e-07,0,0,0,0,0,32,7.6983e-07
44,0.187430,187,0.227201,0.000000,0,5.7524719e-07,0,0,0,0,0,32,7.6983e-07
45,0.188292,187,0.227201,0.000000,0,7.4416077e-07,0,0,0,0,0,32,7.6983e-07
46,0.189233,187,0.227201,0.000000,0,8.8429259e-07,0,0,0,0,0,32,7.6983e-07
47,0.190225,187,0.227201,0.000000,0,9.8485939e-07,0,0,0,0,0,32,7.6983e-07
48,0.191245,187,0.227201,0.000000,0,1.0403359e-06,0,0,0,0,0,32,7.6983e-07
49,0.192270,187,0.227201,0.000000,0,1.0499983e-06,0,0,0,0,0,32,7.6983e-07
50,0.193278,187,0.227201,0.000000,0,1.0170791e-06,0,0,0,0,0,32,7.6983e-07
51,0.194252,187,0.227201,0.000000,0,9.4789137e-07,0,0,0,0,0,32,7.6983e-07
52,0.195174,187,0.227201,0.000000,0,8.5065694e-07,0,0,0,0,0,32,7.6983e-07
53,0.196031,187,0.227201,0.000000,0,7.3462277e-07,0,0,0,0,0,32,7.6983e-07
54,0.196812,187,0.227201,0.000000,0,6.0923629e-07,0,0,0,0,0,32,7.6983e-07
55,0.197507,187,0.227201,0.000000,0,4.8321027e-07,0,0,0,0,0,32,7.6983e-07
56,0.198110,187,0.227201,0.000000,0,3.6408844e-07,0,0,0,0,0,32,7.6983e-07
57,0.198618,187,0.227201,0.000000,0,2.5778858e-07,0,0,0,0,0,32,7.6983e-07
58,0.199028,187,0.227201,0.000000,0,1.6840776e-07,0,0,0,0,0,32,7.6983e-07
59,0.199342,187,0.227201,0.000000,0,9.8245028e-08,0,0,0,0,0,32,7.6983e-07
60,0.199561,187,0.227201,0.000000,0,4.7888213e-08,0,0,0,0,0,32,7.6983e-07
61,0.199689,187,0.227201,0.000000,0,1.6446025e-08,0,0,0,0,0,32,7.6983e-07
62,0.199732,187,0.227201,0.000000,0,1.8607449e-09,0,0,0,0,0,32,7.6983e-07
63,0.199697,187,0.227201,0.000000,0,1.2538529e-09,0,0,0,0,0,32,7.6983e-07
64,0.199590,187,0.227201,0.000000,0,1.1275426e-08,0,0,0,0,0,32,7.6983e-07
65,0.199422,187,0.227201,0.000000,0,2.8421027e-08,0,0,0,0,0,32,7.6983e-07
66,0.199200,187,0.227201,0.000000,0,4.9325119e-08,0,0,0,0,0,32,7.6983e-07
67,0.198933,187,0.227201,0.000000,0,7.0980469e-08,0,0,0,0,0,32,7.6983e-07
68,0.198632,187,0.227201,0.000000,0,9.0891929e-08,0,0,0,0,0,32,7.6983e-07
69,0.198304,187,0.227201,0.000000,0,1.0719771e-07,0,0,0,0,0,32,7.6983e-07
70,0.197960,187,0.227201,0.000000,0,1.1868165e-07,0,0,0,0,0,32,7.6983e-07
71,0.197607,187,0.227201,0.000000,0,1.2474262e-07,0,0,0,0,0,32,7.6983e-07
72,0.197253,187,0.227201,0.000000,0,1.2534349e-07,0,0,0,0,0,32,7.6983e-07
73,0.196905,187,0.227201,0.000000,0,1.2091991e-07,0,0,0,0,0,32,7.6983e-07
74,0.196570,187,0.227201,0.000000,0,1.1224169e-07,0,0,0,0,0,32,7.6983e-07
75,0.196253,187,0.227201,0.000000,0,1.0032496e-07,0,0,0,0,0,32,7.6983e-07
76,0.195959,187,0.227201,0.000000,0,8.6289588e-08,0,0,0,0,0,32,7.6983e-07
77,0.195693,187,0.227201,0.000000,0,7.1243272e-08,0,0,0,0,0,32,7.6983e-07
78,0.195455,187,0.227201,0.000000,0,5.6229122e-08,0,0,0,0,0,32,7.6983e-07
79,0.195250,187,0.227201,0.000000,0,4.2123258e-08,0,0,0,0,0,32,7.6983e-07
