step,worstDrift_wu,worstDriftBone,divergeCap_wu,worstPen_wu,contacts,kineticE_wu2,cageLimitHits,cageSafetyHits,boneLimitHits,divergeClamped,nan,tetherHits,worstPinnedTargetErr_wu
0,0.243078,297,0.315839,0.099075,14,0.39298244,0,0,0,0,0,0,0.34335
1,0.236582,297,0.315839,0.037387,38,0.04373835,0,0,0,0,0,51,0.34335
2,0.240474,297,0.315839,0.000000,0,0.013848205,0,0,0,0,0,50,0.34334
3,0.241732,297,0.315839,0.001094,54,0.0094206406,0,0,0,0,0,56,0.34334
4,0.240286,297,0.315839,0.007801,126,0.0074677129,0,0,0,0,0,54,0.34299
5,0.236122,297,0.315839,0.002823,68,0.0063414915,0,0,0,0,0,52,0.34299
6,0.239881,379,0.315839,0.006048,120,0.0046749175,0,0,0,0,0,61,0.34225
7,0.242505,379,0.315839,0.003040,202,0.0027146307,0,0,0,0,0,59,0.34225
8,0.240147,379,0.315839,0.001627,173,0.0015391103,0,0,0,0,0,64,0.34144
9,0.233099,379,0.315839,0.001703,199,0.00073637066,0,0,0,0,0,58,0.34144
10,0.224457,297,0.315839,0.001743,187,0.00067799036,0,0,0,0,0,60,0.3408
11,0.223074,297,0.315839,0.001731,216,0.00076599647,0,0,0,0,0,53,0.3408
12,0.223081,297,0.315839,0.001729,229,0.0012350455,0,0,0,0,0,58,0.33997
13,0.223092,297,0.315839,0.001696,191,0.0014070828,0,0,0,0,0,57,0.33997
14,0.223989,297,0.315839,0.001867,199,0.0017451089,0,0,0,0,0,60,0.33912
15,0.224014,297,0.315839,0.001665,182,0.0016606816,0,0,0,0,0,55,0.33912
16,0.225284,297,0.315839,0.001770,202,0.0018243501,0,0,0,0,0,61,0.33863
17,0.225333,297,0.315839,0.018014,212,0.0011081016,0,0,0,0,0,54,0.33863
18,0.226232,297,0.315839,0.006405,190,0.0012153782,0,0,0,0,0,56,0.33782
19,0.225642,297,0.315839,0.008461,217,0.00066898639,0,0,0,0,0,53,0.33782
20,0.226925,297,0.315839,0.010499,246,0.00055925706,0,0,0,0,0,54,0.3377
21,0.226338,297,0.315839,0.007406,227,0.00030254485,0,0,0,0,0,54,0.3377
22,0.227739,297,0.315839,0.002314,176,0.00055113845,0,0,0,0,0,53,0.33791
23,0.226756,297,0.315839,0.001983,248,0.00031780021,0,0,0,0,0,56,0.33791
24,0.228744,297,0.315839,0.002404,200,0.00059089998,0,0,0,0,0,58,0.33868
25,0.227817,297,0.315839,0.002034,252,0.0003060868,0,0,0,0,0,58,0.33868
26,0.229624,297,0.315839,0.002286,170,0.00057066149,0,0,0,0,0,59,0.33898
27,0.228378,297,0.315839,0.002114,241,0.00028710767,0,0,0,0,0,57,0.33898
28,0.230505,297,0.315839,0.001884,184,0.00056055139,0,0,0,0,0,58,0.33996
29,0.229463,297,0.315839,0.002086,218,0.00029114167,0,0,0,0,0,57,0.33996
30,0.231441,297,0.315839,0.002215,203,0.00053460378,0,0,0,0,0,56,0.34095
31,0.230307,297,0.315839,0.002466,174,0.00029274352,0,0,0,0,0,57,0.34095
32,0.232598,297,0.315839,0.002010,155,0.00052982918,0,0,0,0,0,55,0.3417
33,0.231670,297,0.315839,0.001979,235,0.00028969964,0,0,0,0,0,58,0.3417
34,0.234072,297,0.315839,0.002068,175,0.00054307637,0,0,0,0,0,55,0.34253
35,0.233042,297,0.315839,0.002177,206,0.00029207504,0,0,0,0,0,57,0.34253
36,0.235474,297,0.315839,0.002020,113,0.00058432035,0,0,0,0,0,55,0.34383
37,0.234452,297,0.315839,0.001979,207,0.00029988742,0,0,0,0,0,58,0.34383
38,0.237118,297,0.315839,0.002012,105,0.00055071711,0,0,0,0,0,55,0.34555
39,0.236146,297,0.315839,0.002080,173,0.00029516236,0,0,0,0,0,57,0.34555
40,0.238778,297,0.315839,0.001949,133,0.00054653134,0,0,0,0,0,55,0.34681
41,0.237678,297,0.315839,0.002051,172,0.00029259512,0,0,0,0,0,56,0.34681
42,0.240089,297,0.315839,0.001966,123,0.00050111707,0,0,0,0,0,53,0.34858
43,0.239186,297,0.315839,0.002105,174,0.00027327497,0,0,0,0,0,56,0.34858
44,0.241385,297,0.315839,0.001994,157,0.00042028754,0,0,0,0,0,52,0.35044
45,0.240537,297,0.315839,0.002005,198,0.00023846959,0,0,0,0,0,56,0.35044
46,0.242335,297,0.315839,0.002006,132,0.00033153526,0,0,0,0,0,55,0.35193
47,0.241506,297,0.315839,0.001989,170,0.00019530422,0,0,0,0,0,56,0.35193
48,0.242545,297,0.315839,0.002057,186,0.00024375864,0,0,0,0,0,54,0.35327
49,0.241781,297,0.315839,0.001933,162,0.00014777195,0,0,0,0,0,55,0.35327
50,0.242311,297,0.315839,0.002094,189,0.00017414136,0,0,0,0,0,53,0.35429
51,0.241685,297,0.315839,0.001890,162,0.00010388818,0,0,0,0,0,52,0.35429
52,0.241909,297,0.315839,0.002117,193,0.0001221931,0,0,0,0,0,50,0.35504
53,0.241390,297,0.315839,0.001863,164,7.0243087e-05,0,0,0,0,0,51,0.35504
54,0.241156,297,0.315839,0.002132,186,8.6421753e-05,0,0,0,0,0,51,0.3551
55,0.240755,297,0.315839,0.001842,158,4.5993458e-05,0,0,0,0,0,51,0.3551
56,0.240180,297,0.315839,0.002115,161,6.5121129e-05,0,0,0,0,0,50,0.35449
57,0.239882,297,0.315839,0.001851,165,3.3555597e-05,0,0,0,0,0,51,0.35449
58,0.239169,297,0.315839,0.002086,105,6.7338227e-05,0,0,0,0,0,50,0.35443
59,0.239008,297,0.315839,0.001871,107,3.4225016e-05,0,0,0,0,0,51,0.35443
60,0.238031,297,0.315839,0.002026,116,0.00010705865,0,0,0,0,0,49,0.35395
61,0.238088,297,0.315839,0.001920,128,5.2985657e-05,0,0,0,0,0,51,0.35395
62,0.236816,297,0.315839,0.002129,65,0.00019084132,0,0,0,0,0,51,0.35342
63,0.237112,297,0.315839,0.001818,94,8.7927418e-05,0,0,0,0,0,53,0.35342
64,0.235369,297,0.315839,0.002209,57,0.00029887675,0,0,0,0,0,49,0.35287
65,0.235963,297,0.315839,0.001738,63,0.00013506497,0,0,0,0,0,53,0.35287
66,0.234382,297,0.315839,0.002082,50,0.00042828468,0,0,0,0,0,51,0.35324
67,0.235246,297,0.315839,0.001883,47,0.00019763271,0,0,0,0,0,53,0.35324
68,0.234063,297,0.315839,0.002325,65,0.00067031508,0,0,0,0,0,48,0.35383
69,0.235126,297,0.315839,0.002060,90,0.00027877108,0,0,0,0,0,55,0.35383
70,0.233774,297,0.315839,0.002472,66,0.00076243731,0,0,0,0,0,46,0.35475
71,0.234883,297,0.315839,0.002077,28,0.00033498052,0,0,0,0,0,54,0.35475
72,0.233438,297,0.315839,0.002373,71,0.00082272276,0,0,0,0,0,45,0.35604
73,0.234637,297,0.315839,0.002190,28,0.0004000931,0,0,0,0,0,53,0.35604
74,0.233353,297,0.315839,0.001999,35,0.00091290276,0,0,0,0,0,45,0.35734
75,0.234639,297,0.315839,0.002303,67,0.00046227127,0,0,0,0,0,57,0.35734
76,0.233307,297,0.315839,0.002036,38,0.00092834596,0,0,0,0,0,46,0.35859
77,0.234588,297,0.315839,0.002612,37,0.00049996126,0,0,0,0,0,58,0.35859
78,0.233055,297,0.315839,0.002083,48,0.00090845641,0,0,0,0,0,46,0.3593
79,0.234309,297,0.315839,0.002950,32,0.00051830974,0,0,0,0,0,55,0.3593
80,0.232317,297,0.315839,0.002104,42,0.00076241276,0,0,0,0,0,49,0.35943
81,0.233570,297,0.315839,0.003080,97,0.00048936738,0,0,0,0,0,54,0.35943
82,0.231153,297,0.315839,0.001768,46,0.00066427305,0,0,0,0,0,49,0.35857
83,0.232422,297,0.315839,0.003029,42,0.00045261315,0,0,0,0,0,53,0.35857
84,0.230125,297,0.315839,0.001626,40,0.0006065903,0,0,0,0,0,50,0.35746
85,0.231353,297,0.315839,0.003030,56,0.00039572689,0,0,0,0,0,54,0.35746
86,0.228729,297,0.315839,0.001614,48,0.00051670729,0,0,0,0,0,52,0.35573
87,0.229913,297,0.315839,0.002994,59,0.00032732542,0,0,0,0,0,55,0.35573
88,0.227336,297,0.315839,0.001859,65,0.00041837672,0,0,0,0,0,52,0.35418
89,0.228434,297,0.315839,0.002939,101,0.00025344332,0,0,0,0,0,54,0.35418
90,0.225979,297,0.315839,0.001698,71,0.00034337285,0,0,0,0,0,52,0.35231
91,0.227006,297,0.315839,0.002881,113,0.00018765881,0,0,0,0,0,55,0.35231
92,0.224733,297,0.315839,0.001763,155,0.00025554625,0,0,0,0,0,52,0.35023
93,0.225682,297,0.315839,0.002814,181,0.00012859154,0,0,0,0,0,54,0.35023
94,0.223527,297,0.315839,0.001681,102,0.00019888589,0,0,0,0,0,52,0.34842
95,0.224437,297,0.315839,0.002741,148,9.5109871e-05,0,0,0,0,0,53,0.34842
96,0.222755,297,0.315839,0.001841,145,0.00015104478,0,0,0,0,0,53,0.34711
97,0.223587,297,0.315839,0.002648,122,7.2554909e-05,0,0,0,0,0,54,0.34711
98,0.222517,297,0.315839,0.001682,116,0.00011809187,0,0,0,0,0,52,0.34619
99,0.223256,297,0.315839,0.002566,217,5.4250674e-05,0,0,0,0,0,53,0.34619
100,0.222332,297,0.315839,0.001658,180,9.4293615e-05,0,0,0,0,0,54,0.34528
101,0.223043,297,0.315839,0.002480,131,4.8637478e-05,0,0,0,0,0,53,0.34528
102,0.222880,297,0.315839,0.001635,154,8.276561e-05,0,0,0,0,0,54,0.34522
103,0.223500,297,0.315839,0.002394,196,4.674582e-05,0,0,0,0,0,54,0.34522
104,0.223471,297,0.315839,0.001694,128,7.0540018e-05,0,0,0,0,0,55,0.34481
105,0.224003,297,0.315839,0.002257,134,4.5707325e-05,0,0,0,0,0,56,0.34481
106,0.223909,297,0.315839,0.001697,132,7.0168526e-05,0,0,0,0,0,55,0.34433
107,0.224400,297,0.315839,0.002252,275,4.4945055e-05,0,0,0,0,0,55,0.34433
108,0.224600,297,0.315839,0.001829,147,6.3369282e-05,0,0,0,0,0,56,0.3438
109,0.225018,297,0.315839,0.002125,204,4.3896257e-05,0,0,0,0,0,55,0.3438
110,0.225224,297,0.315839,0.001921,205,6.0305424e-05,0,0,0,0,0,58,0.34335
111,0.225383,297,0.315839,0.002036,187,4.1588055e-05,0,0,0,0,0,58,0.34335
112,0.225435,297,0.315839,0.001981,221,3.0985827e-05,0,0,0,0,0,58,0.34335
113,0.225420,297,0.315839,0.001981,245,2.5219459e-05,0,0,0,0,0,57,0.34335
114,0.225731,297,0.315839,0.001975,217,3.2563138e-05,0,0,0,0,0,59,0.34334
115,0.225548,297,0.315839,0.001981,208,2.4194164e-05,0,0,0,0,0,56,0.34334
116,0.225695,297,0.315839,0.001981,256,6.9249674e-05,0,0,0,0,0,60,0.34299
117,0.225412,297,0.315839,0.001973,182,2.9598888e-05,0,0,0,0,0,55,0.34299
118,0.225408,297,0.315839,0.002113,225,0.00010459078,0,0,0,0,0,60,0.34225
119,0.225260,297,0.315839,0.001848,194,3.4961426e-05,0,0,0,0,0,55,0.34225
120,0.225415,297,0.315839,0.002036,233,0.00012322609,0,0,0,0,0,62,0.34144
121,0.225095,297,0.315839,0.001919,219,4.1166934e-05,0,0,0,0,0,57,0.34144
122,0.225423,297,0.315839,0.001978,207,0.00015110893,0,0,0,0,0,61,0.3408
123,0.225235,297,0.315839,0.001972,205,5.141225e-05,0,0,0,0,0,54,0.3408
124,0.225516,297,0.315839,0.001947,238,0.0001900019,0,0,0,0,0,60,0.33997
125,0.225001,297,0.315839,0.002001,189,6.6601595e-05,0,0,0,0,0,55,0.33997
126,0.225330,297,0.315839,0.001933,251,0.00022591014,0,0,0,0,0,60,0.33912
127,0.225032,297,0.315839,0.002015,217,8.4161426e-05,0,0,0,0,0,55,0.33912
128,0.225763,297,0.315839,0.001969,296,0.00026482917,0,0,0,0,0,61,0.33863
129,0.225108,297,0.315839,0.001982,215,0.00010551227,0,0,0,0,0,55,0.33863
130,0.225745,297,0.315839,0.001921,290,0.00028021657,0,0,0,0,0,60,0.33782
131,0.225324,297,0.315839,0.002029,250,0.00012280406,0,0,0,0,0,55,0.33782
132,0.226577,297,0.315839,0.002036,192,0.00034313222,0,0,0,0,0,61,0.3377
133,0.225802,297,0.315839,0.002088,217,0.00015412759,0,0,0,0,0,56,0.3377
134,0.227343,297,0.315839,0.002312,181,0.00039524541,0,0,0,0,0,59,0.33791
135,0.226713,297,0.315839,0.001897,253,0.00018061742,0,0,0,0,0,57,0.33791
136,0.228769,297,0.315839,0.002340,174,0.00047513402,0,0,0,0,0,58,0.33868
137,0.227651,297,0.315839,0.001886,211,0.00021883548,0,0,0,0,0,59,0.33868
138,0.229521,297,0.315839,0.002284,168,0.00050619854,0,0,0,0,0,58,0.33898
139,0.228509,297,0.315839,0.001963,222,0.00024531676,0,0,0,0,0,57,0.33898
140,0.230598,297,0.315839,0.002423,182,0.00053123191,0,0,0,0,0,56,0.33996
141,0.229376,297,0.315839,0.002542,206,0.00026610131,0,0,0,0,0,57,0.33996
142,0.231367,297,0.315839,0.002271,204,0.00050941806,0,0,0,0,0,56,0.34095
143,0.230356,297,0.315839,0.001918,245,0.00026538043,0,0,0,0,0,59,0.34095
144,0.232623,297,0.315839,0.002153,135,0.00050600974,0,0,0,0,0,56,0.3417
145,0.231616,297,0.315839,0.001838,175,0.00027208772,0,0,0,0,0,60,0.3417
146,0.234045,297,0.315839,0.002216,118,0.00052983577,0,0,0,0,0,55,0.34253
147,0.233061,297,0.315839,0.002177,185,0.00028271148,0,0,0,0,0,57,0.34253
148,0.235499,297,0.315839,0.002163,115,0.00057606614,0,0,0,0,0,55,0.34383
149,0.234466,297,0.315839,0.001837,176,0.0002944651,0,0,0,0,0,55,0.34383
150,0.237130,297,0.315839,0.002143,102,0.00054879448,0,0,0,0,0,55,0.34555
151,0.236163,297,0.315839,0.002075,183,0.00029458617,0,0,0,0,0,54,0.34555
152,0.238791,297,0.315839,0.002074,135,0.00054703813,0,0,0,0,0,54,0.34681
153,0.237682,297,0.315839,0.001927,205,0.00028763339,0,0,0,0,0,55,0.34681
154,0.240085,297,0.315839,0.002067,96,0.00049743122,0,0,0,0,0,53,0.34858
155,0.239177,297,0.315839,0.001934,169,0.00027049653,0,0,0,0,0,55,0.34858
156,0.241374,297,0.315839,0.002072,188,0.00041388011,0,0,0,0,0,53,0.35044
157,0.240526,297,0.315839,0.001927,203,0.00023094888,0,0,0,0,0,56,0.35044
158,0.242325,297,0.315839,0.002058,162,0.00032190009,0,0,0,0,0,55,0.35193
159,0.241497,297,0.315839,0.001936,196,0.00018724271,0,0,0,0,0,53,0.35193
160,0.242539,297,0.315839,0.002082,189,0.00023728312,0,0,0,0,0,55,0.35327
161,0.241777,297,0.315839,0.001907,164,0.00014238202,0,0,0,0,0,54,0.35327
162,0.242309,297,0.315839,0.002102,164,0.00017214172,0,0,0,0,0,53,0.35429
163,0.241685,297,0.315839,0.001881,163,0.00010249758,0,0,0,0,0,52,0.35429
164,0.241909,297,0.315839,0.002117,162,0.00012176388,0,0,0,0,0,50,0.35504
165,0.241390,297,0.315839,0.001862,172,7.0537735e-05,0,0,0,0,0,52,0.35504
166,0.241157,297,0.315839,0.002124,156,8.7869916e-05,0,0,0,0,0,51,0.3551
167,0.240757,297,0.315839,0.001850,156,4.7784807e-05,0,0,0,0,0,51,0.3551
168,0.240182,297,0.315839,0.002099,158,6.7187215e-05,0,0,0,0,0,50,0.35449
169,0.239884,297,0.315839,0.001867,171,3.6084239e-05,0,0,0,0,0,51,0.35449
170,0.239170,297,0.315839,0.002063,103,7.0242025e-05,0,0,0,0,0,50,0.35443
