step,worstDrift_wu,worstDriftBone,divergeCap_wu,worstPen_wu,contacts,kineticE_wu2,cageLimitHits,cageSafetyHits,boneLimitHits,divergeClamped,nan,tetherHits,worstPinnedTargetErr_wu
0,0.003920,190,0.136178,0.000000,0,1.5366686e-05,0,0,0,0,0,0,2.4606e-07
1,0.011334,190,0.136178,0.000000,0,0.0001225465,0,0,0,0,0,9,2.4606e-07
2,0.021785,190,0.136178,0.000000,0,0.00016453539,0,0,0,0,0,8,2.4606e-07
3,0.034794,190,0.136178,0.000000,0,0.0002125652,0,0,0,0,0,6,2.4606e-07
4,0.049875,190,0.136178,0.000000,0,0.00026189837,0,0,0,0,0,7,2.4606e-07
5,0.066542,190,0.136178,0.000000,0,0.00030451077,0,0,0,0,0,11,2.4606e-07
6,0.084321,190,0.136178,0.000000,0,0.0003330429,0,0,0,0,0,13,2.4606e-07
7,0.102759,190,0.136178,0.000000,0,0.00034930858,0,0,0,0,0,9,2.4606e-07
8,0.121428,190,0.136178,0.000000,0,0.00035324865,0,0,0,0,0,8,2.4606e-07
9,0.139934,190,0.136178,0.000000,0,2.3398875e-05,0,0,0,1,0,5,2.4606e-07
10,0.141591,190,0.136178,0.000000,0,2.4893963e-06,0,0,0,1,0,4,2.4606e-07
11,0.138607,190,0.136178,0.000000,0,6.1181584e-07,0,0,0,1,0,4,2.4606e-07
12,0.137928,190,0.136178,0.000000,0,4.1886352e-07,0,0,0,1,0,4,2.4606e-07
13,0.137773,190,0.136178,0.000000,0,4.5144389e-07,0,0,0,1,0,4,2.4606e-07
14,0.137737,190,0.136178,0.000000,0,4.7140718e-07,0,0,0,1,0,4,2.4606e-07
15,0.137729,190,0.136178,0.000000,0,4.3982235e-07,0,0,0,1,0,4,2.4606e-07
16,0.137728,190,0.136178,0.000000,0,3.7549382e-07,0,0,0,1,0,4,2.4606e-07
17,0.137727,190,0.136178,0.000000,0,3.0546922e-07,0,0,0,1,0,4,2.4606e-07
18,0.137727,190,0.136178,0.000000,0,2.461473e-07,0,0,0,1,0,4,2.4606e-07
19,0.137727,190,0.136178,0.000000,0,2.0309148e-07,0,0,0,1,0,4,2.4606e-07
20,0.137727,190,0.136178,0.000000,0,1.7563274e-07,0,0,0,1,0,4,2.4606e-07
21,0.137727,190,0.136178,0.000000,0,1.6068602e-07,0,0,0,1,0,4,2.4606e-07
22,0.137727,190,0.136178,0.000000,0,1.5412498e-07,0,0,0,1,0,4,2.4606e-07
23,0.137727,190,0.136178,0.000000,0,1.5224348e-07,0,0,0,1,0,4,2.4606e-07
24,0.137727,190,0.136178,0.000000,0,1.5228631e-07,0,0,0,1,0,4,2.4606e-07
25,0.137727,190,0.136178,0.000000,0,1.5261698e-07,0,0,0,1,0,4,2.4606e-07
26,0.137727,190,0.136178,0.000000,0,1.5258813e-07,0,0,0,1,0,4,2.4606e-07
27,0.137727,190,0.136178,0.000000,0,1.5218764e-07,0,0,0,1,0,4,2.4606e-07
28,0.137727,190,0.136178,0.000000,0,1.5162527e-07,0,0,0,1,0,4,2.4606e-07
29,0.137727,190,0.136178,0.000000,0,1.5108313e-07,0,0,0,1,0,4,2.4606e-07
30,0.137727,190,0.136178,0.000000,0,1.5064459e-07,0,0,0,1,0,4,2.4606e-07
31,0.137727,190,0.136178,0.000000,0,1.503557e-07,0,0,0,1,0,4,2.4606e-07
32,0.137727,190,0.136178,0.000000,0,1.5019503e-07,0,0,0,1,0,4,2.4606e-07
33,0.137727,190,0.136178,0.000000,0,1.501196e-07,0,0,0,1,0,4,2.4606e-07
34,0.137727,190,0.136178,0.000000,0,1.5009124e-07,0,0,0,1,0,4,2.4606e-07
35,0.137727,190,0.136178,0.000000,0,1.5008177e-07,0,0,0,1,0,4,2.4606e-07
36,0.137727,190,0.136178,0.000000,0,1.5007845e-07,0,0,0,1,0,4,2.4606e-07
37,0.137727,190,0.136178,0.000000,0,1.5007719e-07,0,0,0,1,0,4,2.4606e-07
38,0.137727,190,0.136178,0.000000,0,1.500751e-07,0,0,0,1,0,4,2.4606e-07
39,0.137727,190,0.136178,0.000000,0,1.5007151e-07,0,0,0,1,0,4,2.4606e-07
40,0.137727,190,0.136178,0.000000,0,1.5006709e-07,0,0,0,1,0,4,2.4606e-07
41,0.137727,190,0.136178,0.000000,0,1.5006354e-07,0,0,0,1,0,4,2.4606e-07
42,0.137727,190,0.136178,0.000000,0,1.5006098e-07,0,0,0,1,0,4,2.4606e-07
43,0.137727,190,0.136178,0.000000,0,1.5005955e-07,0,0,0,1,0,4,2.4606e-07
44,0.137727,190,0.136178,0.000000,0,1.5005879e-07,0,0,0,1,0,4,2.4606e-07
45,0.137727,190,0.136178,0.000000,0,1.5005782e-07,0,0,0,1,0,4,2.4606e-07
46,0.137727,190,0.136178,0.000000,0,1.5005689e-07,0,0,0,1,0,4,2.4606e-07
47,0.137727,190,0.136178,0.000000,0,1.5005669e-07,0,0,0,1,0,4,2.4606e-07
48,0.137727,190,0.136178,0.000000,0,1.500568e-07,0,0,0,1,0,4,2.4606e-07
49,0.137727,190,0.136178,0.000000,0,1.5005674e-07,0,0,0,1,0,4,2.4606e-07
50,0.137727,190,0.136178,0.000000,0,1.5005681e-07,0,0,0,1,0,4,2.4606e-07
51,0.137727,190,0.136178,0.000000,0,1.5005703e-07,0,0,0,1,0,4,2.4606e-07
52,0.137727,190,0.136178,0.000000,0,1.5005714e-07,0,0,0,1,0,4,2.4606e-07
53,0.137727,190,0.136178,0.000000,0,1.5005678e-07,0,0,0,1,0,4,2.4606e-07
54,0.137727,190,0.136178,0.000000,0,1.5005659e-07,0,0,0,1,0,4,2.4606e-07
55,0.137727,190,0.136178,0.000000,0,1.5005648e-07,0,0,0,1,0,4,2.4606e-07
56,0.137727,190,0.136178,0.000000,0,1.5005653e-07,0,0,0,1,0,4,2.4606e-07
57,0.137727,190,0.136178,0.000000,0,1.5005656e-07,0,0,0,1,0,4,2.4606e-07
58,0.137727,190,0.136178,0.000000,0,1.5005689e-07,0,0,0,1,0,4,2.4606e-07
59,0.137727,190,0.136178,0.000000,0,1.5005697e-07,0,0,0,1,0,4,2.4606e-07
60,0.137727,190,0.136178,0.000000,0,1.5005689e-07,0,0,0,1,0,4,2.4606e-07
61,0.137727,190,0.136178,0.000000,0,1.5005658e-07,0,0,0,1,0,4,2.4606e-07
62,0.137727,190,0.136178,0.000000,0,1.5005639e-07,0,0,0,1,0,4,2.4606e-07
63,0.137727,190,0.136178,0.000000,0,1.5005645e-07,0,0,0,1,0,4,2.4606e-07
64,0.137727,190,0.136178,0.000000,0,1.500567e-07,0,0,0,1,0,4,2.4606e-07
65,0.137727,190,0.136178,0.000000,0,1.5005666e-07,0,0,0,1,0,4,2.4606e-07
66,0.137727,190,0.136178,0.000000,0,1.5005666e-07,0,0,0,1,0,4,2.4606e-07
67,0.137727,190,0.136178,0.000000,0,1.5005681e-07,0,0,0,1,0,4,2.4606e-07
68,0.137727,190,0.136178,0.000000,0,1.5005668e-07,0,0,0,1,0,4,2.4606e-07
69,0.137727,190,0.136178,0.000000,0,1.5005655e-07,0,0,0,1,0,4,2.4606e-07
70,0.137727,190,0.136178,0.000000,0,1.5005647e-07,0,0,0,1,0,4,2.4606e-07
71,0.137727,190,0.136178,0.000000,0,1.5005642e-07,0,0,0,1,0,4,2.4606e-07
72,0.137727,190,0.136178,0.000000,0,1.5005646e-07,0,0,0,1,0,4,2.4606e-07
