step,worstDrift_wu,worstDriftBone,divergeCap_wu,worstPen_wu,contacts,kineticE_wu2,cageLimitHits,cageSafetyHits,boneLimitHits,divergeClamped,nan,tetherHits,worstPinnedTargetErr_wu
0,0.003920,187,0.091160,0.000000,0,1.5366639e-05,0,0,0,0,0,0,2.3853e-07
1,0.011334,187,0.091160,0.000000,0,0.00051244632,0,0,0,0,0,4,2.3853e-07
2,0.021785,187,0.091160,0.000000,0,0.00051397975,0,0,0,0,0,5,2.3853e-07
3,0.034794,187,0.091160,0.000000,0,0.00041019807,0,0,0,0,0,9,2.3853e-07
4,0.049875,187,0.091160,0.000000,0,0.00028578017,0,0,0,0,0,11,2.3853e-07
5,0.066542,187,0.091160,0.000000,0,0.00029232217,0,0,0,0,0,11,2.3853e-07
6,0.084321,187,0.091160,0.000000,0,0.00035026018,0,0,0,0,0,9,2.3853e-07
7,0.102759,187,0.091160,0.000000,0,6.658218e-05,0,0,0,1,0,8,2.3853e-07
8,0.097458,187,0.091160,0.000000,0,2.741799e-05,0,0,0,1,0,4,2.3853e-07
9,0.094692,187,0.091160,0.000000,0,4.601051e-06,0,0,0,1,0,4,2.3853e-07
10,0.094062,187,0.091160,0.000000,0,1.7637085e-06,0,0,0,1,0,4,2.3853e-07
11,0.093918,187,0.091160,0.000000,0,7.3799836e-06,0,0,0,1,0,4,2.3853e-07
12,0.093885,187,0.091160,0.000000,0,7.7732407e-06,0,0,0,1,0,6,2.3853e-07
13,0.093878,187,0.091160,0.000000,0,3.3506561e-06,0,0,0,1,0,6,2.3853e-07
14,0.093876,187,0.091160,0.000000,0,6.2672533e-07,0,0,0,1,0,6,2.3853e-07
15,0.093876,187,0.091160,0.000000,0,9.88621e-07,0,0,0,1,0,6,2.3853e-07
16,0.093876,187,0.091160,0.000000,0,1.7720745e-06,0,0,0,1,0,6,2.3853e-07
17,0.093876,187,0.091160,0.000000,0,1.4651349e-06,0,0,0,1,0,6,2.3853e-07
18,0.093876,187,0.091160,0.000000,0,7.356981e-07,0,0,0,1,0,6,2.3853e-07
19,0.093876,187,0.091160,0.000000,0,4.6951853e-07,0,0,0,1,0,6,2.3853e-07
20,0.093876,187,0.091160,0.000000,0,6.0807592e-07,0,0,0,1,0,6,2.3853e-07
21,0.093876,187,0.091160,0.000000,0,6.9151627e-07,0,0,0,1,0,6,2.3853e-07
22,0.093876,187,0.091160,0.000000,0,5.9287419e-07,0,0,0,1,0,6,2.3853e-07
23,0.093876,187,0.091160,0.000000,0,4.81662e-07,0,0,0,1,0,6,2.3853e-07
24,0.093876,187,0.091160,0.000000,0,4.6578015e-07,0,0,0,1,0,6,2.3853e-07
25,0.093876,187,0.091160,0.000000,0,4.9408672e-07,0,0,0,1,0,6,2.3853e-07
26,0.093876,187,0.091160,0.000000,0,4.9758327e-07,0,0,0,1,0,6,2.3853e-07
27,0.093876,187,0.091160,0.000000,0,4.7662722e-07,0,0,0,1,0,6,2.3853e-07
28,0.093876,187,0.091160,0.000000,0,4.6247829e-07,0,0,0,1,0,6,2.3853e-07
29,0.093876,187,0.091160,0.000000,0,4.6373545e-07,0,0,0,1,0,6,2.3853e-07
30,0.093876,187,0.091160,0.000000,0,4.6763113e-07,0,0,0,1,0,6,2.3853e-07
31,0.093876,187,0.091160,0.000000,0,4.6595083e-07,0,0,0,1,0,6,2.3853e-07
32,0.093876,187,0.091160,0.000000,0,4.6225559e-07,0,0,0,1,0,6,2.3853e-07
33,0.093876,187,0.091160,0.000000,0,4.6098765e-07,0,0,0,1,0,6,2.3853e-07
34,0.093876,187,0.091160,0.000000,0,4.6173119e-07,0,0,0,1,0,6,2.3853e-07
35,0.093876,187,0.091160,0.000000,0,4.6213897e-07,0,0,0,1,0,6,2.3853e-07
36,0.093876,187,0.091160,0.000000,0,4.6161172e-07,0,0,0,1,0,6,2.3853e-07
37,0.093876,187,0.091160,0.000000,0,4.6103821e-07,0,0,0,1,0,6,2.3853e-07
38,0.093876,187,0.091160,0.000000,0,4.6092844e-07,0,0,0,1,0,6,2.3853e-07
39,0.093876,187,0.091160,0.000000,0,4.6105407e-07,0,0,0,1,0,6,2.3853e-07
40,0.093876,187,0.091160,0.000000,0,4.6105952e-07,0,0,0,1,0,6,2.3853e-07
41,0.093876,187,0.091160,0.000000,0,4.6096298e-07,0,0,0,1,0,6,2.3853e-07
42,0.093876,187,0.091160,0.000000,0,4.6090806e-07,0,0,0,1,0,6,2.3853e-07
43,0.093876,187,0.091160,0.000000,0,4.6091043e-07,0,0,0,1,0,6,2.3853e-07
44,0.093876,187,0.091160,0.000000,0,4.6093232e-07,0,0,0,1,0,6,2.3853e-07
45,0.093876,187,0.091160,0.000000,0,4.6092652e-07,0,0,0,1,0,6,2.3853e-07
46,0.093876,187,0.091160,0.000000,0,4.6089791e-07,0,0,0,1,0,6,2.3853e-07
47,0.093876,187,0.091160,0.000000,0,4.6088275e-07,0,0,0,1,0,6,2.3853e-07
48,0.093876,187,0.091160,0.000000,0,4.6088637e-07,0,0,0,1,0,6,2.3853e-07
49,0.093876,187,0.091160,0.000000,0,4.6088946e-07,0,0,0,1,0,6,2.3853e-07
50,0.093876,187,0.091160,0.000000,0,4.6088787e-07,0,0,0,1,0,6,2.3853e-07
