step,worstDrift_wu,worstDriftBone,divergeCap_wu,worstPen_wu,contacts,kineticE_wu2,cageLimitHits,cageSafetyHits,boneLimitHits,divergeClamped,nan,tetherHits,worstPinnedTargetErr_wu
0,0.000005,425,0.315839,0.000000,0,1.1636242e-10,0,0,0,0,0,0,0.15351
1,0.305225,399,0.315839,0.065787,979,1.2064991,0,0,0,0,0,53,0.15351
2,0.371816,398,0.315839,0.029012,1109,0.17745266,0,0,0,0,0,61,0.15327
3,0.372122,398,0.315839,0.019999,1091,0.13640214,0,0,0,0,0,65,0.15327
4,0.406331,399,0.315839,0.015858,1108,0.091152408,0,0,0,0,0,65,0.15266
5,0.400603,399,0.315839,0.015904,1093,0.070241223,0,0,0,0,0,68,0.15266
6,0.371490,398,0.315839,0.016102,1006,0.072117378,0,0,0,0,0,73,0.15185
7,0.372928,398,0.315839,0.021016,994,0.069098354,0,0,0,0,0,75,0.15185
8,0.372414,398,0.315839,0.020230,1005,0.052411208,0,0,0,0,0,83,0.15082
9,0.371938,398,0.315839,0.019461,1260,0.018770511,0,0,0,0,0,77,0.15082
10,0.372104,398,0.315839,0.020341,1208,0.01584757,0,0,0,0,0,80,0.14979
11,0.372358,398,0.315839,0.019709,1222,0.018394133,0,0,0,0,0,70,0.14979
12,0.372582,398,0.315839,0.021792,1192,0.019154143,0,0,0,0,0,72,0.14877
13,0.372508,398,0.315839,0.019421,1152,0.018812723,0,0,0,0,0,70,0.14877
14,0.372510,398,0.315839,0.021741,1064,0.018459919,0,0,0,0,0,74,0.14747
15,0.372455,398,0.315839,0.019360,1117,0.017224798,0,0,0,0,0,67,0.14747
16,0.372559,398,0.315839,0.021743,1114,0.016437798,0,0,0,0,0,78,0.14617
17,0.372545,398,0.315839,0.019365,1108,0.015501728,0,0,0,0,0,70,0.14617
18,0.372655,398,0.315839,0.021728,1081,0.01567431,0,0,0,0,0,73,0.14487
19,0.372643,398,0.315839,0.019327,1074,0.015546508,0,0,0,0,0,69,0.14487
20,0.372765,398,0.315839,0.021590,1046,0.016179374,0,0,0,0,0,69,0.14348
21,0.372749,398,0.315839,0.019250,1071,0.016137019,0,0,0,0,0,68,0.14348
22,0.372860,398,0.315839,0.021416,1060,0.016354485,0,0,0,0,0,68,0.14209
23,0.372837,398,0.315839,0.019206,1050,0.01598561,0,0,0,0,0,71,0.14209
24,0.372977,398,0.315839,0.021429,1054,0.016075074,0,0,0,0,0,74,0.14044
25,0.372957,398,0.315839,0.019176,1053,0.015596064,0,0,0,0,0,73,0.14044
26,0.373098,398,0.315839,0.021400,1042,0.015785451,0,0,0,0,0,76,0.13879
27,0.373082,398,0.315839,0.019155,1052,0.015405905,0,0,0,0,0,72,0.13879
28,0.373221,398,0.315839,0.021180,1047,0.015540346,0,0,0,0,0,73,0.13703
29,0.373209,398,0.315839,0.019117,1032,0.015274273,0,0,0,0,0,71,0.13703
30,0.373355,398,0.315839,0.020952,1042,0.015334334,0,0,0,0,0,71,0.13528
31,0.373338,398,0.315839,0.019071,1033,0.015089624,0,0,0,0,0,71,0.13528
32,0.373480,398,0.315839,0.020692,1039,0.015080321,0,0,0,0,0,69,0.13354
33,0.373468,398,0.315839,0.019034,1033,0.014837351,0,0,0,0,0,72,0.13354
34,0.373609,398,0.315839,0.020447,1038,0.014861744,0,0,0,0,0,69,0.13191
35,0.373602,398,0.315839,0.019010,1024,0.014622084,0,0,0,0,0,71,0.13191
36,0.373739,398,0.315839,0.020418,1041,0.014691871,0,0,0,0,0,69,0.1303
37,0.373737,398,0.315839,0.018986,1026,0.01446817,0,0,0,0,0,71,0.1303
38,0.373858,398,0.315839,0.020127,1036,0.01452524,0,0,0,0,0,69,0.12891
39,0.373858,398,0.315839,0.018970,1026,0.014350537,0,0,0,0,0,71,0.12891
40,0.373978,398,0.315839,0.020170,1037,0.01446593,0,0,0,0,0,69,0.12753
41,0.373974,398,0.315839,0.018957,1026,0.014200417,0,0,0,0,0,70,0.12753
42,0.374071,398,0.315839,0.019896,1037,0.014240232,0,0,0,0,0,67,0.12646
