step,worstDrift_wu,worstDriftBone,divergeCap_wu,worstPen_wu,contacts,kineticE_wu2,cageLimitHits,cageSafetyHits,boneLimitHits,divergeClamped,nan,tetherHits,worstPinnedTargetErr_wu
0,1.000000,391,0.338003,0.086784,224,0.19939132,0,0,0,2,0,0,0.39281
1,0.377003,391,0.338003,0.071309,456,0.089777898,0,0,0,2,0,37,0.39281
2,0.340267,391,0.338003,0.020043,249,0.054432931,0,0,0,2,0,53,0.39279
3,0.331727,391,0.338003,0.004027,276,0.046672548,0,0,0,0,0,64,0.39279
4,0.319948,391,0.338003,0.003398,315,0.039286198,0,0,0,0,0,71,0.39235
5,0.302279,391,0.338003,0.005876,430,0.030388511,0,0,0,0,0,65,0.39235
6,0.281046,391,0.338003,0.008844,420,0.021822811,0,0,0,0,0,70,0.3916
7,0.255221,391,0.338003,0.002621,503,0.014578808,0,0,0,0,0,68,0.3916
8,0.234427,392,0.338003,0.007571,526,0.0095902204,0,0,0,0,0,71,0.39055
9,0.228421,392,0.338003,0.016426,748,0.0057342883,0,0,0,0,0,68,0.39055
10,0.218907,392,0.338003,0.003560,788,0.0058853014,0,0,0,0,0,66,0.38969
11,0.205366,392,0.338003,0.025211,813,0.0047781038,0,0,0,0,0,62,0.38969
12,0.189481,392,0.338003,0.010014,813,0.0065968402,0,0,0,0,0,73,0.38861
13,0.170688,392,0.338003,0.002542,804,0.0084585548,0,0,0,0,0,70,0.38861
14,0.160323,391,0.338003,0.004225,668,0.010293227,0,0,0,0,0,76,0.38721
15,0.159781,391,0.338003,0.002521,792,0.011028365,0,0,0,0,0,73,0.38721
16,0.161348,391,0.338003,0.004271,657,0.011551512,0,0,0,0,0,75,0.38582
17,0.160969,391,0.338003,0.013620,799,0.010200328,0,0,0,0,0,71,0.38582
18,0.162525,391,0.338003,0.011476,720,0.0085247834,0,0,0,0,0,73,0.38409
19,0.162243,391,0.338003,0.009700,826,0.0067552225,0,0,0,0,0,69,0.38409
20,0.163873,391,0.338003,0.016944,822,0.0024000391,0,0,0,0,0,70,0.38227
21,0.163607,391,0.338003,0.009827,1006,0.001006067,0,0,0,0,0,68,0.38227
22,0.165198,391,0.338003,0.004301,917,0.001199911,0,0,0,0,0,66,0.38089
23,0.164886,391,0.338003,0.002438,1015,0.00093818471,0,0,0,0,0,68,0.38089
24,0.166686,391,0.338003,0.004835,836,0.0012920771,0,0,0,0,0,69,0.37876
25,0.166253,391,0.338003,0.002401,808,0.0010544103,0,0,0,0,0,74,0.37876
26,0.167839,391,0.338003,0.004875,1007,0.0013598208,0,0,0,0,0,71,0.37612
27,0.167235,391,0.338003,0.002373,715,0.0010719198,0,0,0,0,0,73,0.37612
28,0.168743,391,0.338003,0.004676,687,0.001318029,0,0,0,0,0,68,0.37374
29,0.167916,391,0.338003,0.002351,765,0.0010204058,0,0,0,0,0,75,0.37374
30,0.169104,391,0.338003,0.004637,698,0.0012207813,0,0,0,0,0,69,0.37135
31,0.167997,391,0.338003,0.002363,845,0.00093890808,0,0,0,0,0,75,0.37135
32,0.168808,391,0.338003,0.004670,876,0.0011548545,0,0,0,0,0,68,0.36868
33,0.167352,391,0.338003,0.002294,762,0.00089620227,0,0,0,0,0,77,0.36868
34,0.167549,391,0.338003,0.004709,867,0.0011371171,0,0,0,0,0,69,0.36606
35,0.165663,391,0.338003,0.002264,721,0.00088481296,0,0,0,0,0,75,0.36606
36,0.165220,391,0.338003,0.004622,769,0.0011844118,0,0,0,0,0,69,0.36372
37,0.162806,391,0.338003,0.002539,733,0.00090463899,0,0,0,0,0,75,0.36372
38,0.161401,391,0.338003,0.004370,764,0.0011525163,0,0,0,0,0,69,0.36122
39,0.158371,391,0.338003,0.002221,735,0.00092325451,0,0,0,0,0,73,0.36122
40,0.155858,391,0.338003,0.004262,944,0.0012058078,0,0,0,0,0,69,0.35818
41,0.152123,391,0.338003,0.002566,746,0.00097443529,0,0,0,0,0,74,0.35818
42,0.148454,391,0.338003,0.003653,689,0.0011854266,0,0,0,0,0,68,0.35544
43,0.143987,391,0.338003,0.002508,918,0.00098313057,0,0,0,0,0,73,0.35544
44,0.139272,391,0.338003,0.003340,824,0.0011249916,0,0,0,0,0,67,0.3529
45,0.134121,391,0.338003,0.002164,897,0.00096486473,0,0,0,0,0,75,0.3529
46,0.128326,391,0.338003,0.002864,728,0.001037119,0,0,0,0,0,71,0.3502
47,0.122643,391,0.338003,0.002148,907,0.00090533617,0,0,0,0,0,75,0.3502
48,0.116457,391,0.338003,0.002624,803,0.00091577653,0,0,0,0,0,72,0.34797
49,0.110532,391,0.338003,0.002139,809,0.00081590729,0,0,0,0,0,72,0.34797
50,0.104405,391,0.338003,0.002441,920,0.00080059437,0,0,0,0,0,72,0.346
51,0.098644,391,0.338003,0.002132,810,0.0007174287,0,0,0,0,0,70,0.346
52,0.093136,391,0.338003,0.002348,734,0.00071123325,0,0,0,0,0,69,0.34446
53,0.088093,392,0.338003,0.002131,862,0.00062140611,0,0,0,0,0,69,0.34446
54,0.087369,392,0.338003,0.002172,741,0.00062634253,0,0,0,0,0,68,0.34297
55,0.086828,392,0.338003,0.002134,879,0.00053275262,0,0,0,0,0,69,0.34297
56,0.086645,392,0.338003,0.002375,758,0.00058141992,0,0,0,0,0,68,0.34161
57,0.086336,392,0.338003,0.002141,827,0.00046901355,0,0,0,0,0,68,0.34161
58,0.086842,392,0.338003,0.002561,788,0.0005314287,0,0,0,0,0,70,0.34103
59,0.086733,392,0.338003,0.002154,754,0.00042485821,0,0,0,0,0,72,0.34103
60,0.087498,392,0.338003,0.002873,775,0.00056110844,0,0,0,0,0,69,0.34036
